municipio,UF,Módulo fiscal (ha),,
Lagoa Salgada,RN,30,,
Lajes,RN,50,,
Lajes Pintadas,RN,30,,
Lucrécia,RN,40,,
Luís Gomes,RN,45,,
Macaíba,RN,12,,
Macau,RN,65,,
Major Sales,RN,45,,
Marcelino Vieira,RN,55,,
Martins,RN,55,,
Maxaranguape,RN,20,,
Messias Targino,RN,45,,
Montanhas,RN,35,,
Monte Alegre,RN,35,,
Monte das Gameleiras,RN,30,,
Mossoró,RN,70,,
Natal,RN,7,,
Nísia Floresta,RN,20,,
Nova Cruz,RN,35,,
Olho-D'água do Borges,RN,45,,
Ouro Branco,RN,35,,
Paraná,RN,40,,
Paraú,RN,55,,
Parazinho,RN,50,,
Parelhas,RN,30,,
Parnamirim,RN,10,,
Passa E Fica,RN,35,,
Passagem,RN,35,,
Patu,RN,45,,
Pau dos Ferros,RN,60,,
Pedra Grande,RN,60,,
Pedra Preta,RN,50,,
Pedro Avelino,RN,60,,
Pedro Velho,RN,20,,
Pendências,RN,65,,
Pil§es,RN,55,,
Poço Branco,RN,50,,
Portalegre,RN,40,,
Porto do Mangue,RN,70,,
Pureza,RN,50,,
Rafael Fernandes,RN,50,,
Rafael Godeiro,RN,45,,
Riacho da Cruz,RN,55,,
Riacho de Santana,RN,50,,
Riachuelo,RN,35,,
Rio do Fogo,RN,20,,
Rodolfo Fernandes,RN,55,,
Ruy Barbosa,RN,35,,
Santa Cruz,RN,35,,
Santa Maria,RN,35,,
Santana do Matos,RN,60,,
Santana do Seridó,RN,30,,
Santo Antânio,RN,35,,
São Bento do Norte,RN,60,,
São Bento do Trairí,RN,30,,
São Fernando,RN,45,,
São Francisco do Oeste,RN,50,,
São Gonçalo do Amarante,RN,12,,
São João do Sabugi,RN,45,,
São José de Mipibu,RN,20,,
São José do Campestre,RN,35,,
São José do Seridó,RN,35,,
São Miguel,RN,45,,
São Miguel do Gostoso,RN,60,,
São Paulo do Potengi,RN,35,,
São Pedro,RN,35,,
São Rafael,RN,55,,
São Tomé,RN,30,,
São Vicente,RN,30,,
Senador Elói de Souza,RN,35,,
Senador Georgino Avelino,RN,20,,
Serra de São Bento,RN,35,,
Serra do Mel,RN,70,,
Serra Negra do Norte,RN,45,,
Serrinha,RN,35,,
Serrinha dos Pintos,RN,55,,
Severiano Melo,RN,50,,
Sítio Novo,RN,30,,
Taboleiro Grande,RN,55,,
Taipu,RN,50,,
Tangará,RN,35,,
Tenente Ananias,RN,50,,
Tenente Laurentino Cruz,RN,35,,
Tibau,RN,70,,
Tibau do Sul,RN,20,,
Timbaúba dos Batistas,RN,35,,
Touros,RN,60,,
Triunfo Potiguar,RN,55,,
Umarizal,RN,40,,
Upanema,RN,55,,
Várzea,RN,35,,
Venha-Ver,RN,45,,
Vera Cruz,RN,35,,
Viçosa,RN,50,,
Vila Flor,RN,20,,
Alta Floresta D'oeste,RO,60,,
Alto Alegre do Parecis,RO,60,,
Alto Paraíso,RO,60,,
Alvorada D'oeste,RO,60,,
Ariquemes,RO,60,,
Buritis,RO,60,,
Cabixi,RO,60,,
Cacaulândia,RO,60,,
Cacoal,RO,60,,
Campo Novo de Rondânia,RO,60,,
Candeias do Jamari,RO,60,,
Castanheiras,RO,60,,
Cerejeiras,RO,60,,
Chupinguaia,RO,60,,
Colorado do Oeste,RO,60,,
Corumbiara,RO,60,,
Costa Marques,RO,60,,
Cujubim,RO,60,,
Espigão D'oeste,RO,60,,
Governador Jorge Teixeira,RO,60,,
Guajará-Mirim,RO,60,,
Itapuã do Oeste,RO,60,,
Jaru,RO,60,,
Ji-Paraná,RO,60,,
Machadinho D'oeste,RO,60,,
Ministro Andreazza,RO,60,,
Mirante da Serra,RO,60,,
Monte Negro,RO,60,,
Nova Brasilândia D'oeste,RO,60,,
Nova Mamoré,RO,60,,
Nova União,RO,60,,
Novo Horizonte do Ooeste,RO,60,,
Ouro Preto do Oeste,RO,60,,
Parecis,RO,60,,
Pimenta Bueno,RO,60,,
Pimenteiras do Oeste,RO,60,,
Porto Velho,RO,60,,
Presidente Médici,RO,60,,
Primavera de Rondânia,RO,60,,
Rio Crespo,RO,60,,
Rolim de Moura,RO,60,,
Santa Luzia D'oeste,RO,60,,
São Felipe D'oeste,RO,60,,
São Francisco do Guaporé,RO,60,,
São Miguel do Guaporé,RO,60,,
Seringueiras,RO,60,,
Teixeirópolis,RO,60,,
Theobroma,RO,60,,
Urupá,RO,60,,
Vale do Anari,RO,60,,
Vale do Paraíso,RO,60,,
Vilhena,RO,60,,
Alto Alegre,RR,80,,
Amajari,RR,80,,
Boa Vista,RR,80,,
Bonfim,RR,80,,
Cantá,RR,80,,
Caracaraí,RR,100,,
Caroebe,RR,100,,
Iracema,RR,100,,
Mucajaí,RR,100,,
Normandia,RR,80,,
Pacaraima,RR,80,,
Rorainópolis,RR,100,,
São João da Baliza,RR,100,,
São Luiz,RR,100,,
Uiramutã,RR,80,,
Aceguá,RS,28,,
Água Santa,RS,20,,
Agudo,RS,20,,
Ajuricaba,RS,20,,
Alecrim,RS,20,,
Alegrete,RS,28,,
Alegria,RS,20,,
Almirante Tamandaré do Sul,RS,16,,
Alpestre,RS,20,,
Alto Alegre,RS,18,,
Alto Feliz,RS,18,,
Alvorada,RS,7,,
Amaral Ferrador,RS,35,,
Ametista do Sul,RS,20,,
André da Rocha,RS,25,,
Anta Gorda,RS,20,,
Antânio Prado,RS,12,,
Arambaré,RS,16,,
Araricá,RS,14,,
Aratiba,RS,20,,
Arroio do Meio,RS,18,,
Arroio do Padre,RS,16,,
Arroio do Sal,RS,18,,
Arroio do Tigre,RS,20,,
Arroio dos Ratos,RS,14,,
Arroio Grande,RS,40,,
Arvorezinha,RS,20,,
Augusto Pestana,RS,20,,
Áurea,RS,20,,
Bagé,RS,28,,
Balneário Pinhal,RS,18,,
Barão,RS,18,,
Barão de Cotegipe,RS,20,,
Barão do Triunfo,RS,14,,
Barra do Guarita,RS,20,,
Barra do Quaraí,RS,28,,
Barra do Ribeiro,RS,14,,
Barra do Rio Azul,RS,20,,
Barra Funda,RS,20,,
Barracão,RS,20,,
Barros Cassal,RS,18,,
Benjamin Constant do Sul,RS,20,,
Bento Gonçalves,RS,12,,
Boa Vista das Miss§es,RS,16,,
Boa Vista do Buricá,RS,20,,
Boa Vista do Cadeado,RS,20,,
Boa Vista do Incra,RS,20,,
Boa Vista do Sul,RS,12,,
Bom Jesus,RS,25,,
Bom Princípio,RS,18,,
Bom Progresso,RS,20,,
Bom Retiro do Sul,RS,18,,
Boqueirão do Leão,RS,18,,
Bossoroca,RS,20,,
Bozano,RS,20,,
Braga,RS,20,,
Brochier,RS,18,,
Butiá,RS,20,,
Caçapava do Sul,RS,35,,
Cacequi,RS,28,,
Cachoeira do Sul,RS,20,,
Cachoeirinha,RS,7,,
Cacique Doble,RS,20,,
Caibaté,RS,20,,
Caiçara,RS,20,,
Camaquã,RS,16,,
Camargo,RS,20,,
Cambará do Sul,RS,25,,
Campestre da Serra,RS,25,,
Campina das Miss§es,RS,20,,
Campinas do Sul,RS,20,,
Campo Bom,RS,7,,
Campo Novo,RS,20,,
Campos Borges,RS,18,,
Candelária,RS,20,,
Cândido Godói,RS,20,,
Candiota,RS,35,,
Canela,RS,18,,
Canguçu,RS,16,,
Canoas,RS,7,,
Canudos do Vale,RS,18,,
Capão Bonito do Sul,RS,25,,
Capão da Canoa,RS,18,,
Capão do Cipó,RS,35,,
Capão do Leão,RS,16,,
Capela de Santana,RS,18,,
Capitão,RS,18,,
Capivari do Sul,RS,18,,
Caraá,RS,18,,
Carazinho,RS,16,,
Carlos Barbosa,RS,12,,
Carlos Gomes,RS,20,,
Casca,RS,20,,
Caseiros,RS,25,,
Catuípe,RS,20,,
Caxias do Sul,RS,12,,
Centenário,RS,20,,
Cerrito,RS,16,,
Cerro Branco,RS,20,,
Cerro Grande,RS,16,,
Cerro Grande do Sul,RS,16,,
Cerro Largo,RS,20,,
Chapada,RS,16,,
Charqueadas,RS,14,,
Charrua,RS,20,,
Chiapetta,RS,20,,
Chuí,RS,40,,
Chuvisca,RS,16,,
Cidreira,RS,18,,
Ciríaco,RS,20,,
Colinas,RS,18,,
Colorado,RS,20,,
Condor,RS,20,,
Constantina,RS,20,,
Coqueiro Baixo,RS,18,,
Coqueiros do Sul,RS,16,,
Coronel Barros,RS,20,,
Coronel Bicaco,RS,16,,
Coronel Pilar,RS,12,,
Cotiporã,RS,12,,
Coxilha,RS,16,,
Crissiumal,RS,20,,
Cristal,RS,16,,
Cristal do Sul,RS,20,,
Cruz Alta,RS,20,,
Cruzaltense,RS,20,,
Cruzeiro do Sul,RS,18,,
David Canabarro,RS,20,,
Derrubadas,RS,20,,
Dezesseis de Novembro,RS,20,,
Dilermando de Aguiar,RS,22,,
Dois Irmãos,RS,18,,
Dois Irmãos das Miss§es,RS,20,,
Dois Lajeados,RS,20,,
Dom Feliciano,RS,16,,
Dom Pedrito,RS,28,,
Dom Pedro de Alcântara,RS,18,,
Dona Francisca,RS,20,,
Doutor Maurício Cardoso,RS,20,,
Doutor Ricardo,RS,18,,
Eldorado do Sul,RS,14,,
Encantado,RS,18,,
Encruzilhada do Sul,RS,35,,
Engenho Velho,RS,20,,
Entre Rios do Sul,RS,20,,
Entre-Ijuís,RS,20,,
Erebango,RS,20,,
Erechim,RS,20,,
Ernestina,RS,16,,
Erval Grande,RS,20,,
Erval Seco,RS,20,,
Esmeralda,RS,25,,
Esperança do Sul,RS,20,,
Espumoso,RS,18,,
Estação,RS,20,,
Estância Velha,RS,7,,
Esteio,RS,7,,
Estrela,RS,18,,
Estrela Velha,RS,20,,
Eugênio de Castro,RS,20,,
Fagundes Varela,RS,12,,
Farroupilha,RS,12,,
Faxinal do Soturno,RS,20,,
Faxinalzinho,RS,20,,
Fazenda Vilanova,RS,18,,
Feliz,RS,18,,
Flores da Cunha,RS,12,,
Floriano Peixoto,RS,20,,
Fontoura Xavier,RS,20,,
Formigueiro,RS,22,,
Forquetinha,RS,18,,
Fortaleza dos Valos,RS,20,,
Frederico Westphalen,RS,20,,
Garibaldi,RS,12,,
Garruchos,RS,20,,
Gaurama,RS,20,,
General Câmara,RS,14,,
Gentil,RS,20,,
Getúlio Vargas,RS,20,,
Giruá,RS,20,,
Glorinha,RS,10,,
Gramado,RS,18,,
Gramado dos Loureiros,RS,20,,
Gramado Xavier,RS,20,,
Gravataí,RS,10,,
Guabiju,RS,20,,
Guaíba,RS,14,,
Guaporé,RS,20,,
Guarani das Miss§es,RS,20,,
Harmonia,RS,18,,
Herval,RS,40,,
Herveiras,RS,20,,
Horizontina,RS,20,,
Hulha Negra,RS,28,,
Humaitá,RS,20,,
Ibarama,RS,20,,
Ibiaçá,RS,20,,
Ibiraiaras,RS,25,,
Ibirapuitã,RS,18,,
Ibirubá,RS,20,,
Igrejinha,RS,18,,
Ijuí,RS,20,,
Ilópolis,RS,20,,
Imbé,RS,18,,
Imigrante,RS,18,,
Independência,RS,20,,
Inhacorá,RS,20,,
Ipê,RS,25,,
Ipiranga do Sul,RS,20,,
Iraí,RS,20,,
Itaara,RS,22,,
Itacurubi,RS,28,,
Itapuca,RS,20,,
Itaqui,RS,20,,
Itati,RS,18,,
Itatiba do Sul,RS,20,,
Ivorá,RS,35,,
Ivoti,RS,18,,
Jaboticaba,RS,16,,
Jacuizinho,RS,18,,
Jacutinga,RS,20,,
Jaguarão,RS,40,,
Jaguari,RS,22,,
Jaquirana,RS,25,,
Jari,RS,35,,
Jóia,RS,35,,
Júlio de Castilhos,RS,35,,
Lagoa Bonita do Sul,RS,20,,
Lagoa dos Três Cantos,RS,20,,
Lagoa Vermelha,RS,25,,
Lagoão,RS,18,,
Lajeado,RS,18,,
Lajeado do Bugre,RS,16,,
Lavras do Sul,RS,35,,
Liberato Salzano,RS,20,,
Lindolfo Collor,RS,18,,
Linha Nova,RS,18,,
Maçambara,RS,20,,
Machadinho,RS,20,,
Mampituba,RS,18,,
Manoel Viana,RS,35,,
Maquiné,RS,18,,
Maratá,RS,18,,
Marau,RS,20,,
Marcelino Ramos,RS,20,,
Mariana Pimentel,RS,14,,
Mariano Moro,RS,20,,
Marques de Souza,RS,18,,
Mata,RS,22,,
Mato Castelhano,RS,16,,
Mato Leitão,RS,20,,
Mato Queimado,RS,20,,
Maximiliano de Almeida,RS,20,,
Minas do Leão,RS,20,,
Miraguaí,RS,20,,
Montauri,RS,20,,
Monte Alegre dos Campos,RS,25,,
Monte Belo do Sul,RS,12,,
Montenegro,RS,18,,
Mormaço,RS,18,,
Morrinhos do Sul,RS,18,,
Morro Redondo,RS,16,,
Morro Reuter,RS,18,,
Mostardas,RS,25,,
Muçum,RS,18,,
Muitos Cap§es,RS,25,,
Muliterno,RS,20,,
Não-Me-Toque,RS,20,,
Nicolau Vergueiro,RS,20,,
Nonoai,RS,20,,
Nova Alvorada,RS,20,,
Nova Araçá,RS,20,,
Nova Bassano,RS,20,,
Nova Boa Vista,RS,20,,
Nova Bréscia,RS,18,,
Nova Candelária,RS,20,,
Nova Esperança do Sul,RS,22,,
Nova Hartz,RS,14,,
Nova Pádua,RS,12,,
Nova Palma,RS,20,,
Nova Petrópolis,RS,18,,
Nova Prata,RS,20,,
Nova Ramada,RS,20,,
Nova Roma do Sul,RS,12,,
Nova Santa Rita,RS,7,,
Novo Barreiro,RS,16,,
Novo Cabrais,RS,20,,
Novo Hamburgo,RS,7,,
Novo Machado,RS,20,,
Novo Tiradentes,RS,20,,
Novo Xingu,RS,20,,
Osório,RS,18,,
Paim Filho,RS,20,,
Palmares do Sul,RS,18,,
Palmeira das Miss§es,RS,16,,
Palmitinho,RS,20,,
Panambi,RS,20,,
Pantano Grande,RS,20,,
Paraí,RS,20,,
Paraíso do Sul,RS,20,,
Pareci Novo,RS,18,,
Parobé,RS,18,,
Passa Sete,RS,20,,
Passo do Sobrado,RS,20,,
Passo Fundo,RS,16,,
Paulo Bento,RS,20,,
Paverama,RS,18,,
Pedras Altas,RS,35,,
Pedro Osório,RS,16,,
Pejuçara,RS,20,,
Pelotas,RS,16,,
Picada Café,RS,18,,
Pinhal,RS,16,,
Pinhal da Serra,RS,25,,
Pinhal Grande,RS,35,,
Pinheirinho do Vale,RS,20,,
Pinheiro Machado,RS,35,,
Pirapó,RS,20,,
Piratini,RS,35,,
Planalto,RS,20,,
Poço das Antas,RS,18,,
Pontão,RS,16,,
Ponte Preta,RS,20,,
Portão,RS,7,,
Porto Alegre,RS,5,,
Porto Lucena,RS,20,,
Porto Mauá,RS,20,,
Porto Vera Cruz,RS,20,,
Porto Xavier,RS,20,,
Pouso Novo,RS,18,,
Presidente Lucena,RS,18,,
Progresso,RS,18,,
Protásio Alves,RS,20,,
Putinga,RS,20,,
Quaraí,RS,28,,
Quatro Irmãos,RS,20,,
Quevedos,RS,35,,
Quinze de Novembro,RS,20,,
Redentora,RS,20,,
Relvado,RS,18,,
Restinga Seca,RS,22,,
Rio dos ═ndios,RS,20,,
Rio Grande,RS,25,,
Rio Pardo,RS,20,,
Riozinho,RS,18,,
Roca Sales,RS,18,,
Rodeio Bonito,RS,20,,
Rolador,RS,20,,
Rolante,RS,18,,
Ronda Alta,RS,20,,
Rondinha,RS,20,,
Roque Gonzales,RS,20,,
Rosário do Sul,RS,28,,
Sagrada Família,RS,16,,
Saldanha Marinho,RS,20,,
Salto do Jacuí,RS,18,,
Salvador das Miss§es,RS,20,,
Salvador do Sul,RS,18,,
Sananduva,RS,20,,
Sant' Ana do Livramento,RS,28,,
Santa Bárbara do Sul,RS,20,,
Santa Cecília do Sul,RS,20,,
Santa Clara do Sul,RS,18,,
Santa Cruz do Sul,RS,20,,
Santa Margarida do Sul,RS,28,,
Santa Maria,RS,22,,
Santa Maria do Herval,RS,18,,
Santa Rosa,RS,20,,
Santa Tereza,RS,12,,
Santa Vitória do Palmar,RS,40,,
Santana da Boa Vista,RS,35,,
Santiago,RS,35,,
Santo ┬ngelo,RS,20,,
Santo Antânio da Patrulha,RS,18,,
Santo Antânio das Miss§es,RS,20,,
Santo Antânio do Palma,RS,20,,
Santo Antânio do Planalto,RS,16,,
Santo Augusto,RS,16,,
Santo Cristo,RS,20,,
Santo Expedito do Sul,RS,20,,
São Borja,RS,20,,
São Domingos do Sul,RS,20,,
São Francisco de Assis,RS,35,,
São Francisco de Paula,RS,25,,
São Gabriel,RS,28,,
São Jerânimo,RS,14,,
São João da Urtiga,RS,20,,
São João do Polêsine,RS,20,,
São Jorge,RS,20,,
São José das Miss§es,RS,16,,
São José do Herval,RS,20,,
São José do Hortêncio,RS,18,,
São José do Inhacorá,RS,20,,
São José do Norte,RS,25,,
São José do Ouro,RS,20,,
São José do Sul,RS,18,,
São José dos Ausentes,RS,25,,
São Leopoldo,RS,7,,
São Lourenço do Sul,RS,16,,
São Luiz Gonzaga,RS,20,,
São Marcos,RS,12,,
São Martinho,RS,20,,
São Martinho da Serra,RS,22,,
São Miguel das Miss§es,RS,20,,
São Nicolau,RS,20,,
São Paulo das Miss§es,RS,20,,
São Pedro da Serra,RS,18,,
São Pedro das Miss§es,RS,16,,
São Pedro do Butiá,RS,20,,
São Pedro do Sul,RS,22,,
São Sebastião do Caí,RS,18,,
São Sepé,RS,35,,
São Valentim,RS,20,,
São Valentim do Sul,RS,20,,
São Valério do Sul,RS,16,,
São Vendelino,RS,18,,
São Vicente do Sul,RS,22,,
Sapiranga,RS,7,,
Sapucaia do Sul,RS,7,,
Sarandi,RS,20,,
Seberi,RS,20,,
Sede Nova,RS,20,,
Segredo,RS,20,,
Selbach,RS,20,,
Senador Salgado Filho,RS,20,,
Sentinela do Sul,RS,16,,
Serafina Corrêa,RS,20,,
Sério,RS,18,,
Sertão,RS,20,,
Sertão Santana,RS,16,,
Sete de Setembro,RS,20,,
Severiano de Almeida,RS,20,,
Silveira Martins,RS,22,,
Sinimbu,RS,20,,
Sobradinho,RS,20,,
Soledade,RS,18,,
Tabaí,RS,18,,
Tapejara,RS,20,,
Tapera,RS,20,,
Tapes,RS,16,,
Taquara,RS,18,,
Taquari,RS,18,,
Taquaruçu do Sul,RS,20,,
Tavares,RS,25,,
Tenente Portela,RS,20,,
Terra de Areia,RS,18,,
Teutânia,RS,18,,
Tio Hugo,RS,20,,
Tiradentes do Sul,RS,20,,
Toropi,RS,22,,
Torres,RS,18,,
Tramandaí,RS,18,,
Travesseiro,RS,18,,
Três Arroios,RS,20,,
Três Cachoeiras,RS,18,,
Três Coroas,RS,18,,
Três de Maio,RS,20,,
Três Forquilhas,RS,18,,
Três Palmeiras,RS,20,,
Três Passos,RS,20,,
Trindade do Sul,RS,20,,
Triunfo,RS,18,,
Tucunduva,RS,20,,
Tunas,RS,18,,
Tupanci do Sul,RS,20,,
Tupanciretã,RS,35,,
Tupandi,RS,18,,
Tuparendi,RS,20,,
Turuçu,RS,16,,
Ubiretama,RS,20,,
União da Serra,RS,20,,
Unistalda,RS,35,,
Uruguaiana,RS,28,,
Vacaria,RS,25,,
Vale do Sol,RS,20,,
Vale Real,RS,18,,
Vale Verde,RS,14,,
Vanini,RS,20,,
Venâncio Aires,RS,20,,
Vera Cruz,RS,20,,
Veranópolis,RS,12,,
Vespasiano Correa,RS,18,,
Viadutos,RS,20,,
Viamão,RS,10,,
Vicente Dutra,RS,20,,
Victor Graeff,RS,20,,
Vila Flores,RS,12,,
Vila Lângaro,RS,20,,
Vila Maria,RS,20,,
Vila Nova do Sul,RS,35,,
Vista Alegre,RS,20,,
Vista Alegre do Prata,RS,20,,
Vista Gaúcha,RS,20,,
Vitória das Miss§es,RS,20,,
Westfalia,RS,18,,
Xangri-Lá,RS,18,,
Abdon Batista,SC,20,,
Abelardo Luz,SC,20,,
Agrolândia,SC,18,,
Agronâmica,SC,18,,
Água Doce,SC,20,,
Águas de Chapecó,SC,20,,
Águas Frias,SC,20,,
Águas Mornas,SC,18,,
Alfredo Wagner,SC,18,,
Alto Bela Vista,SC,18,,
Anchieta,SC,18,,
Angelina,SC,18,,
Anita Garibaldi,SC,20,,
Anitápolis,SC,18,,
Antânio Carlos,SC,18,,
Apiúna,SC,12,,
Arabutã,SC,18,,
Araquari,SC,12,,
Araranguá,SC,20,,
Armazém,SC,14,,
Arroio Trinta,SC,18,,
Arvoredo,SC,20,,
Ascurra,SC,12,,
Atalanta,SC,18,,
Aurora,SC,18,,
Balneário Arroio do Silva,SC,20,,
Balneário Barra do Sul,SC,12,,
Balneário Camboriú,SC,12,,
Balneário Gaivota,SC,20,,
Bandeirante,SC,20,,
Barra Bonita,SC,20,,
Barra Velha,SC,12,,
Bela Vista do Toldo,SC,16,,
Belmonte,SC,18,,
Benedito Novo,SC,12,,
Biguaçu,SC,12,,
Blumenau,SC,12,,
Bocaina do Sul,SC,20,,
Bom Jardim da Serra,SC,20,,
Bom Jesus,SC,20,,
Bom Jesus do Oeste,SC,20,,
Bom Retiro,SC,20,,
Bombinhas,SC,12,,
Botuverá,SC,12,,
Braço do Norte,SC,14,,
Braço do Trombudo,SC,18,,
Brunópolis,SC,20,,
Brusque,SC,12,,
Caçador,SC,18,,
Caibi,SC,20,,
Calmon,SC,16,,
Camboriú,SC,12,,
Campo Alegre,SC,16,,
Campo Belo do Sul,SC,24,,
Campo Erê,SC,18,,
Campos Novos,SC,20,,
Canelinha,SC,18,,
Canoinhas,SC,16,,
Capão Alto,SC,20,,
Capinzal,SC,18,,
Capivari de Baixo,SC,14,,
Catanduvas,SC,18,,
Caxambu do Sul,SC,20,,
Celso Ramos,SC,20,,
Cerro Negro,SC,24,,
Chapadão do Lageado,SC,18,,
Chapecó,SC,20,,
Cocal do Sul,SC,14,,
Concórdia,SC,18,,
Cordilheira Alta,SC,20,,
Coronel Freitas,SC,20,,
Coronel Martins,SC,20,,
Correia Pinto,SC,20,,
Corupá,SC,12,,
Criciúma,SC,14,,
Cunha Porã,SC,18,,
Cunhataí,SC,18,,
Curitibanos,SC,24,,
Descanso,SC,18,,
Dionísio Cerqueira,SC,20,,
Dona Emma,SC,18,,
Doutor Pedrinho,SC,12,,
Entre Rios,SC,20,,
Ermo,SC,18,,
Erval Velho,SC,20,,
Faxinal dos Guedes,SC,20,,
Flor do Sertão,SC,20,,
Florianópolis,SC,7,,
Formosa do Sul,SC,18,,
Forquilhinha,SC,14,,
Fraiburgo,SC,18,,
Frei Rogério,SC,24,,
Galvão,SC,20,,
Garopaba,SC,12,,
Garuva,SC,12,,
Gaspar,SC,12,,
Governador Celso Ramos,SC,12,,
Grão Pará,SC,14,,
Gravatal,SC,14,,
Guabiruba,SC,12,,
Guaraciaba,SC,20,,
Guaramirim,SC,12,,
Guarujá do Sul,SC,20,,
Guatambú,SC,20,,
Herval D'oeste,SC,20,,
Ibiam,SC,18,,
Ibicaré,SC,18,,
Ibirama,SC,18,,
Içara,SC,20,,
Ilhota,SC,12,,
Imaruí,SC,16,,
Imbituba,SC,16,,
Imbuia,SC,18,,
Indaial,SC,12,,
Iomerê,SC,18,,
Ipira,SC,20,,
Iporã do Oeste,SC,20,,
Ipuaçu,SC,20,,
Ipumirim,SC,20,,
Iraceminha,SC,18,,
Irani,SC,18,,
Irati,SC,18,,
Irineópolis,SC,16,,
Itá,SC,20,,
Itaiópolis,SC,16,,
Itajaí,SC,12,,
Itapema,SC,12,,
Itapiranga,SC,20,,
Itapoá,SC,12,,
Ituporanga,SC,18,,
Jaborá,SC,18,,
Jacinto Machado,SC,18,,
Jaguaruna,SC,20,,
Jaraguá do Sul,SC,12,,
Jardinópolis,SC,20,,
Joaçaba,SC,20,,
Joinville,SC,12,,
José Boiteux,SC,18,,
Jupiá,SC,20,,
Lacerdópolis,SC,20,,
Lages,SC,20,,
Laguna,SC,16,,
Lajeado Grande,SC,20,,
Laurentino,SC,18,,
Lauro Muller,SC,14,,
Lebon Régis,SC,20,,
Leoberto Leal,SC,18,,
Lindóia do Sul,SC,18,,
Lontras,SC,18,,
Luiz Alves,SC,12,,
Luzerna,SC,20,,
Macieira,SC,18,,
Mafra,SC,16,,
Major Gercino,SC,18,,
Major Vieira,SC,16,,
Maracajá,SC,20,,
Maravilha,SC,20,,
Marema,SC,20,,
Massaranduba,SC,12,,
Matos Costa,SC,16,,
Meleiro,SC,18,,
Mirim Doce,SC,18,,
Modelo,SC,18,,
Mondaí,SC,20,,
Monte Carlo,SC,20,,
Monte Castelo,SC,16,,
Morro da Fumaça,SC,14,,
Morro Grande,SC,18,,
Navegantes,SC,12,,
Nova Erechim,SC,18,,
Nova Itaberaba,SC,20,,
Nova Trento,SC,18,,
Nova Veneza,SC,18,,
Novo Horizonte,SC,20,,
Orleans,SC,14,,
Otacílio Costa,SC,20,,
Ouro,SC,18,,
Ouro Verde,SC,20,,
Paial,SC,20,,
Painel,SC,20,,
Palhoça,SC,12,,
Palma Sola,SC,18,,
Palmeira,SC,20,,
Palmitos,SC,20,,
Papanduva,SC,16,,
Paraíso,SC,20,,
Passo de Torres,SC,20,,
Passos Maia,SC,18,,
Paulo Lopes,SC,12,,
Pedras Grandes,SC,14,,
Penha,SC,0,,
Penha,SC,12,,
Peritiba,SC,18,,
Petrolândia,SC,18,,
Pinhalzinho,SC,20,,
Pinheiro Preto,SC,18,,
Piratuba,SC,20,,
Planalto Alegre,SC,20,,
Pomerode,SC,12,,
Ponte Alta,SC,22,,
Ponte Alta do Norte,SC,24,,
Ponte Serrada,SC,18,,
Porto Belo,SC,12,,
Porto União,SC,16,,
Pouso Redondo,SC,18,,
Praia Grande,SC,18,,
Presidente Castello Branco,SC,18,,
Presidente Getúlio,SC,18,,
Presidente Nereu,SC,12,,
Princesa,SC,20,,
Quilombo,SC,18,,
Rancho Queimado,SC,18,,
Rio das Antas,SC,18,,
Rio do Campo,SC,18,,
Rio do Oeste,SC,18,,
Rio do Sul,SC,18,,
Rio dos Cedros,SC,12,,
Rio Fortuna,SC,14,,
Rio Negrinho,SC,16,,
Rio Rufino,SC,20,,
Riqueza,SC,20,,
Rodeio,SC,12,,
Romelândia,SC,18,,
Salete,SC,18,,
Saltinho,SC,18,,
Salto Veloso,SC,20,,
Sangão,SC,20,,
Santa Cecília,SC,24,,
Santa Helena,SC,18,,
Santa Rosa de Lima,SC,14,,
Santa Rosa do Sul,SC,20,,
Santa Terezinha,SC,16,,
Santa Terezinha do Progresso,SC,18,,
Santiago do Sul,SC,18,,
Santo Amaro da Imperatriz,SC,12,,
São Bento do Sul,SC,16,,
São Bernardino,SC,20,,
São Bonifácio,SC,18,,
São Carlos,SC,18,,
São Cristovão do Sul,SC,24,,
São Domingos,SC,20,,
São Francisco do Sul,SC,12,,
São João Batista,SC,18,,
São João do Itaperiú,SC,12,,
São João do Oeste,SC,20,,
São João do Sul,SC,20,,
São Joaquim,SC,20,,
São José,SC,12,,
São José do Cedro,SC,20,,
São José do Cerrito,SC,20,,
São Lourenço do Oeste,SC,20,,
São Ludgero,SC,14,,
São Martinho,SC,14,,
São Miguel da Boa Vista,SC,20,,
São Miguel do Oeste,SC,20,,
São Pedro de Alcântara,SC,12,,
Saudades,SC,18,,
Schroeder,SC,12,,
Seara,SC,20,,
Serra Alta,SC,18,,
Siderópolis,SC,14,,
Sombrio,SC,20,,
Sul Brasil,SC,18,,
Taió,SC,18,,
Tangará,SC,18,,
Tigrinhos,SC,20,,
Tijucas,SC,12,,
Timbé do Sul,SC,18,,
Timbó,SC,12,,
Timbó Grande,SC,24,,
Três Barras,SC,16,,
Treviso,SC,14,,
Treze de Maio,SC,14,,
Treze Tílias,SC,20,,
Trombudo Central,SC,18,,
Tubarão,SC,14,,
Tunápolis,SC,20,,
Turvo,SC,18,,
União do Oeste,SC,20,,
Urubici,SC,20,,
Urupema,SC,20,,
Urussanga,SC,14,,
Vargeão,SC,18,,
Vargem,SC,20,,
Vargem Bonita,SC,18,,
